t,a,e,omega,Omega,res,M2
7.218555185592162e+05,4.634784246546996e+00,3.950778292214885e-01,-2.736228010301970e+00,0.000000e+00,2.001273e+00,-7.349547e-01
7.297879967859375e+05,4.634782921851587e+00,3.951035054077121e-01,-2.489813068865261e+00,0.000000e+00,2.005707e+00,-4.841065e-01
7.377204750126587e+05,4.634808584490848e+00,3.951355595766299e-01,-2.243389094043826e+00,0.000000e+00,2.010131e+00,-2.332582e-01
7.456529532393800e+05,4.634908351731382e+00,3.951848447597507e-01,-1.996963294242545e+00,0.000000e+00,2.014553e+00,1.759006e-02
7.535854314661013e+05,4.635360926177829e+00,3.953155582580680e-01,-1.750436369893057e+00,0.000000e+00,2.018875e+00,2.684383e-01
7.615179096928226e+05,4.635415840421431e+00,3.953548912890161e-01,-1.503221149270426e+00,0.000000e+00,2.022508e+00,5.192865e-01
7.694503879195439e+05,4.634921735091377e+00,3.952679930691115e-01,-1.256640282741453e+00,0.000000e+00,2.026775e+00,7.701347e-01
7.773828661462652e+05,4.634811983844715e+00,3.952697935920299e-01,-1.010163286910257e+00,0.000000e+00,2.031146e+00,1.020983e+00
7.853153443729865e+05,4.634783626541945e+00,3.952905465752969e-01,-7.636623045826155e-01,0.000000e+00,2.035493e+00,1.271831e+00
7.932478225997078e+05,4.634783241129728e+00,3.953179087310612e-01,-5.171439661897601e-01,0.000000e+00,2.039823e+00,1.522679e+00
8.011803008264290e+05,4.634810470346858e+00,3.953517645839634e-01,-2.706162319395984e-01,0.000000e+00,2.044144e+00,1.773527e+00
8.091127790531503e+05,4.634916327353887e+00,3.954038527852944e-01,-2.408602301639296e-02,0.000000e+00,2.048462e+00,2.024376e+00
8.170452572798716e+05,4.635395203347060e+00,3.955419310798535e-01,2.225628890617785e-01,0.000000e+00,2.052661e+00,2.275224e+00
8.249777355065929e+05,4.635381797382863e+00,3.955669074476866e-01,4.698859317808177e-01,0.000000e+00,2.056186e+00,2.526072e+00
8.329102137333142e+05,4.634913106780336e+00,3.954872856467886e-01,7.165552272196478e-01,0.000000e+00,2.060365e+00,2.776920e+00
8.408426919600355e+05,4.634809744034036e+00,3.954919001701492e-01,9.631399213324745e-01,0.000000e+00,2.064628e+00,3.027768e+00
8.487751701867568e+05,4.634783033351324e+00,3.955143393931521e-01,1.209749256393715e+00,0.000000e+00,-4.214318e+00,-3.004569e+00
8.567076484134780e+05,4.634783604849224e+00,3.955432047912014e-01,1.456376211973770e+00,0.000000e+00,-4.210097e+00,-2.753721e+00
8.646401266401993e+05,4.634812499157368e+00,3.955787041105511e-01,1.703012821379524e+00,0.000000e+00,-4.205885e+00,-2.502872e+00
8.725726048669206e+05,4.634924984085599e+00,3.956335456885249e-01,1.949652539978109e+00,0.000000e+00,-4.201676e+00,-2.252024e+00
8.805050830936419e+05,4.635430632218301e+00,3.957789209911301e-01,2.196431010719506e+00,0.000000e+00,-4.197607e+00,-2.001176e+00
8.884375613203632e+05,4.635347768655675e+00,3.957891500234247e-01,2.443862063497434e+00,0.000000e+00,-4.194189e+00,-1.750327e+00
8.963700395470845e+05,4.634904891860405e+00,3.957167489569188e-01,2.690626674310798e+00,0.000000e+00,-4.190106e+00,-1.499479e+00
9.043025177738058e+05,4.634807593244128e+00,3.957239637930560e-01,2.937323924052897e+00,0.000000e+00,-4.185955e+00,-1.248631e+00
9.122349960005271e+05,4.634782486453006e+00,3.957479488921403e-01,-3.099138957346524e+00,0.000000e+00,2.101357e+00,-9.977823e-01
9.201674742272483e+05,4.634784020514323e+00,3.957781956802213e-01,-2.852398688697737e+00,0.000000e+00,2.105465e+00,-7.469340e-01
9.280999524539696e+05,4.634814675591482e+00,3.958152390691616e-01,-2.605648553410205e+00,0.000000e+00,2.109563e+00,-4.960858e-01
9.360324306806909e+05,4.634934383316740e+00,3.958728472969830e-01,-2.358894624496445e+00,0.000000e+00,2.113657e+00,-2.452375e-01
9.439649089074122e+05,4.635466791282392e+00,3.960253811299378e-01,-2.111979120509084e+00,0.000000e+00,2.117590e+00,5.610769e-03
9.518973871341335e+05,4.635314075073017e+00,3.960206740988690e-01,-1.864440414568026e+00,0.000000e+00,2.120899e+00,2.564590e-01
9.598298653608548e+05,4.634897062904336e+00,3.959553662737955e-01,-1.617574039873093e+00,0.000000e+00,2.124881e+00,5.073072e-01
9.677623435875761e+05,4.634805506173726e+00,3.959649691677626e-01,-1.370759741253636e+00,0.000000e+00,2.128915e+00,7.581554e-01
9.756948218142973e+05,4.634781950586610e+00,3.959903448322645e-01,-1.123919867836376e+00,0.000000e+00,2.132923e+00,1.009004e+00
9.836273000410186e+05,4.634784473381123e+00,3.960218240428968e-01,-8.770620113130861e-01,0.000000e+00,2.136914e+00,1.259852e+00
9.915597782677399e+05,4.634817009000569e+00,3.960602756522466e-01,-6.301941713614279e-01,0.000000e+00,2.140894e+00,1.510700e+00
9.994922564944612e+05,4.634944636969314e+00,3.961206371673350e-01,-3.833218395339194e-01,0.000000e+00,2.144870e+00,1.761548e+00
1.007424734721182e+06,4.635503234816145e+00,3.962800103199609e-01,-1.362621036663412e-01,0.000000e+00,2.148658e+00,2.012396e+00
1.015357212947904e+06,4.635280979125119e+00,3.962602879887243e-01,1.113830449482437e-01,0.000000e+00,2.151861e+00,2.263244e+00
1.023289691174625e+06,4.634889605364530e+00,3.962018360787266e-01,3.583567835258726e-01,0.000000e+00,2.155736e+00,2.514093e+00
1.031222169401346e+06,4.634803499942087e+00,3.962135785550194e-01,6.052918482841088e-01,0.000000e+00,2.159649e+00,2.764941e+00
1.039154647628068e+06,4.634781467928671e+00,3.962401586430433e-01,8.522527254064053e-01,0.000000e+00,2.163536e+00,3.015789e+00
1.047087125854789e+06,4.634784996503247e+00,3.962727017296858e-01,1.099231620927837e+00,0.000000e+00,-4.115780e+00,-3.016548e+00
1.055019604081510e+06,4.634819534865617e+00,3.963124240322543e-01,1.346220515051274e+00,0.000000e+00,-4.111920e+00,-2.765700e+00
1.062952082308231e+06,4.634955828828296e+00,3.963755502157912e-01,1.593214655731130e+00,0.000000e+00,-4.108066e+00,-2.514852e+00
1.070884560534953e+06,4.635539221777026e+00,3.965412804848252e-01,1.840425248633663e+00,0.000000e+00,-4.104428e+00,-2.264003e+00
1.078817038761674e+06,4.635248731743680e+00,3.965067326061494e-01,2.088174775744470e+00,0.000000e+00,-4.101330e+00,-2.013155e+00
1.086749516988395e+06,4.634882483705102e+00,3.964548793392724e-01,2.335260677437089e+00,0.000000e+00,-4.097567e+00,-1.762307e+00
1.094681995215117e+06,4.634801547303652e+00,3.964685720599734e-01,2.582319602437583e+00,0.000000e+00,-4.093778e+00,-1.511458e+00
1.102614473441838e+06,4.634781003819575e+00,3.964962330506976e-01,2.829404486551371e+00,0.000000e+00,-4.090014e+00,-1.260610e+00
1.110546951668559e+06,4.634785571531446e+00,3.965297366621222e-01,3.076507389079455e+00,0.000000e+00,-4.086269e+00,-1.009762e+00
1.118479429895280e+06,4.634822262777528e+00,3.965706557263231e-01,-2.959565037731176e+00,0.000000e+00,2.200652e+00,-7.589133e-01
1.126411908122002e+06,4.634968103577986e+00,3.966366379425265e-01,-2.712446013596790e+00,0.000000e+00,2.204381e+00,-5.080651e-01
1.134344386348723e+06,4.635573969980970e+00,3.968080750068200e-01,-2.465078028678441e+00,0.000000e+00,2.207861e+00,-2.572168e-01
1.142276864575444e+06,4.635217516561422e+00,3.967591420524622e-01,-2.217226573211843e+00,0.000000e+00,2.210858e+00,-6.368527e-03
1.150209342802166e+06,4.634875707893149e+00,3.967136107464406e-01,-1.970024131366543e+00,0.000000e+00,2.214504e+00,2.444797e-01
1.158141821028887e+06,4.634799679253954e+00,3.967290745007532e-01,-1.722838540194872e+00,0.000000e+00,2.218166e+00,4.953279e-01
1.166074299255608e+06,4.634780586863924e+00,3.967576844930959e-01,-1.475626942490512e+00,0.000000e+00,2.221803e+00,7.461761e-01
1.174006777482329e+06,4.634786217577485e+00,3.967920228808097e-01,-1.228397397252697e+00,0.000000e+00,2.225422e+00,9.970243e-01
1.181939255709051e+06,4.634825213051028e+00,3.968340355680476e-01,-9.811579802171174e-01,0.000000e+00,2.229030e+00,1.247872e+00
1.189871733935772e+06,4.634981569770371e+00,3.969029475672316e-01,-7.339113903923878e-01,0.000000e+00,2.232632e+00,1.498721e+00
1.197804212162493e+06,4.635606397279695e+00,3.970791270079301e-01,-4.863799346472900e-01,0.000000e+00,2.235949e+00,1.749569e+00
1.205736690389215e+06,4.635187487752646e+00,3.970164866397058e-01,-2.384294982848968e-01,0.000000e+00,2.238846e+00,2.000417e+00
1.213669168615936e+06,4.634869247421990e+00,3.969769132552228e-01,8.893110263940072e-03,0.000000e+00,2.242372e+00,2.251265e+00
1.221601646842657e+06,4.634797872346287e+00,3.969939341740883e-01,2.562075017820066e-01,0.000000e+00,2.245906e+00,2.502113e+00
1.229534125069378e+06,4.634780204941973e+00,3.970233331604947e-01,5.035478113999883e-01,0.000000e+00,2.249414e+00,2.752961e+00
1.237466603296100e+06,4.634786928382294e+00,3.970583653195767e-01,7.509059020706618e-01,0.000000e+00,2.252904e+00,3.003810e+00
1.245399081522821e+06,4.634828415766142e+00,3.971013691266249e-01,9.982736647566655e-01,0.000000e+00,-4.026801e+00,-3.028527e+00
1.253331559749542e+06,4.634996394277955e+00,3.971733233759533e-01,1.245649823961223e+00,0.000000e+00,-4.023329e+00,-2.777679e+00
1.261264037976264e+06,4.635635356380796e+00,3.973530051492271e-01,1.493350058709704e+00,0.000000e+00,-4.020181e+00,-2.526831e+00
1.269196516202985e+06,4.635158769883758e+00,3.972776605105807e-01,1.741396020647403e+00,0.000000e+00,-4.017379e+00,-2.275983e+00
1.277128994429706e+06,4.634863106764436e+00,3.972437020362674e-01,1.988841664534602e+00,0.000000e+00,-4.013976e+00,-2.025134e+00
1.285061472656427e+06,4.634796149972050e+00,3.972621249473917e-01,2.236286430801151e+00,0.000000e+00,-4.010572e+00,-1.774286e+00
1.292993950883149e+06,4.634779877067053e+00,3.972922145191656e-01,2.483756969105167e+00,0.000000e+00,-4.007195e+00,-1.523438e+00
1.300926429109870e+06,4.634787737503256e+00,3.973278630322982e-01,2.731245096370571e+00,0.000000e+00,-4.003834e+00,-1.272589e+00
1.308858907336591e+06,4.634831910915926e+00,3.973718202888528e-01,2.978742674646995e+00,0.000000e+00,-4.000484e+00,-1.021741e+00
1.316791385563313e+06,4.635012717095654e+00,3.974470088967789e-01,-3.056935115640620e+00,0.000000e+00,2.286042e+00,-7.708926e-01
1.324723863790034e+06,4.635659526258531e+00,3.976286714718270e-01,-2.809061402506198e+00,0.000000e+00,2.289017e+00,-5.200444e-01
1.332656342016755e+06,4.635131492206519e+00,3.975419929543184e-01,-2.560923106678672e+00,0.000000e+00,2.291727e+00,-2.691961e-01
1.340588820243476e+06,4.634857266198313e+00,3.975132977926250e-01,-2.313351851619934e+00,0.000000e+00,2.295004e+00,-1.834782e-02
1.348521298470198e+06,4.634794490103941e+00,3.975329786057653e-01,-2.065775299778815e+00,0.000000e+00,2.298276e+00,2.325004e-01
1.356453776696919e+06,4.634779589931799e+00,3.975636579384853e-01,-1.818173192636372e+00,0.000000e+00,2.301522e+00,4.833486e-01
1.364386254923640e+06,4.634788622829033e+00,3.975998302583896e-01,-1.570553741916776e+00,0.000000e+00,2.304751e+00,7.341968e-01
1.372318733150362e+06,4.634835692525320e+00,3.976446819460867e-01,-1.322925124648427e+00,0.000000e+00,2.307970e+00,9.850450e-01
1.380251211377083e+06,4.635030697023692e+00,3.977232986343433e-01,-1.075284677570025e+00,0.000000e+00,2.311178e+00,1.235893e+00
1.388183689603804e+06,4.635677651428330e+00,3.979050615361573e-01,-8.272336023478494e-01,0.000000e+00,2.313975e+00,1.486741e+00
1.396116167830525e+06,4.635105647822237e+00,3.978086532733791e-01,-5.790060619191272e-01,0.000000e+00,2.316596e+00,1.737589e+00
1.404048646057247e+06,4.634851713900960e+00,3.977848250186430e-01,-3.313072474483538e-01,0.000000e+00,2.319745e+00,1.988438e+00
1.411981124283968e+06,4.634792903286839e+00,3.978055880863181e-01,-8.359804813746864e-02,0.000000e+00,2.322884e+00,2.239286e+00
1.419913602510689e+06,4.634779351730465e+00,3.978367286957228e-01,1.641363864562888e-01,0.000000e+00,2.325998e+00,2.490134e+00
1.427846080737411e+06,4.634789599909405e+00,3.978733156808441e-01,4.118878348162495e-01,0.000000e+00,2.329094e+00,2.740982e+00
1.435778558964132e+06,4.634839819162120e+00,3.979190027661391e-01,6.596480807291520e-01,0.000000e+00,2.332182e+00,2.991830e+00
1.443711037190853e+06,4.635050558549851e+00,3.980012843881912e-01,9.074225028039402e-01,0.000000e+00,-3.947929e+00,-3.040507e+00
1.451643515417574e+06,4.635688590920482e+00,3.981809820091916e-01,1.155653457210033e+00,0.000000e+00,-3.945312e+00,-2.789658e+00
1.459575993644296e+06,4.635081265021053e+00,3.980767455040679e-01,1.403967361807243e+00,0.000000e+00,-3.942777e+00,-2.538810e+00
1.467508471871017e+06,4.634846435677818e+00,3.980574257511718e-01,1.651795032414260e+00,0.000000e+00,-3.939757e+00,-2.287962e+00
1.475440950097738e+06,4.634791387176005e+00,3.980791511234683e-01,1.899637274989453e+00,0.000000e+00,-3.936751e+00,-2.037114e+00
1.483373428324460e+06,4.634779157671269e+00,3.981106832454628e-01,2.147504396871544e+00,0.000000e+00,-3.933770e+00,-1.786265e+00
1.491305906551181e+06,4.634790681795506e+00,3.981476386705744e-01,2.395388186800457e+00,0.000000e+00,-3.930805e+00,-1.535417e+00
1.499238384777902e+06,4.634844326186985e+00,3.981941702634602e-01,2.643280405001934e+00,0.000000e+00,-3.927849e+00,-1.284569e+00
1.507170863004623e+06,4.635072510562352e+00,3.982804506046344e-01,2.891189790617995e+00,0.000000e+00,-3.924910e+00,-1.033720e+00
1.515103341231345e+06,4.635691409726599e+00,3.984557130292238e-01,3.139602024090266e+00,0.000000e+00,-3.922474e+00,-7.828719e-01
1.523035819458066e+06,4.635058335607487e+00,3.983457950930173e-01,-2.895184994650822e+00,0.000000e+00,2.363161e+00,-5.320237e-01
