t,a,e,omega,Omega,res,M2
1.935524687175152e+06,4.636323316591851e+00,4.000829609039695e-01,-2.570513896124160e+00,0.000000e+00,2.516228e+00,-5.428583e-02
1.951389643628595e+06,4.636728244400030e+00,4.002372804358447e-01,-2.073089059525941e+00,0.000000e+00,2.520500e+00,4.474106e-01
1.967254600082037e+06,4.636979274090681e+00,4.003565083637958e-01,-1.576280346180110e+00,0.000000e+00,2.525387e+00,9.491071e-01
1.983119556535480e+06,4.636408863089818e+00,4.002897528113845e-01,-1.078856263675067e+00,0.000000e+00,2.529660e+00,1.450803e+00
1.998984512988922e+06,4.636287133143398e+00,4.003242893152210e-01,-5.811903595683312e-01,0.000000e+00,2.533690e+00,1.952500e+00
2.014849469442365e+06,4.636265596517343e+00,4.003812634021983e-01,-8.347460116186721e-02,0.000000e+00,2.537671e+00,2.454196e+00
2.030714425895808e+06,4.636276154334668e+00,4.004452948666136e-01,4.142968048676713e-01,0.000000e+00,2.541596e+00,2.955893e+00
2.046579382349250e+06,4.636319317652482e+00,4.005165405564191e-01,9.121333232839774e-01,0.000000e+00,-3.737729e+00,-2.825596e+00
2.062444338802693e+06,4.636478851888930e+00,4.006139375747960e-01,1.410042687107079e+00,0.000000e+00,-3.733942e+00,-2.323900e+00
2.078309295256135e+06,4.637195012710039e+00,4.008368282751601e-01,1.907683282147126e+00,0.000000e+00,-3.729886e+00,-1.822203e+00
2.094174251709578e+06,4.636603530153211e+00,4.007641944232948e-01,2.405080403228683e+00,0.000000e+00,-3.725587e+00,-1.320506e+00
2.110039208163020e+06,4.636379372680107e+00,4.007743305004920e-01,2.903165842949144e+00,0.000000e+00,-3.721976e+00,-8.188099e-01
2.125904164616463e+06,4.636347211827334e+00,4.008275950971955e-01,-2.881880479259914e+00,0.000000e+00,2.564767e+00,-3.171134e-01
2.141769121069905e+06,4.636360165501967e+00,4.008908414020001e-01,-2.383688771230881e+00,0.000000e+00,2.568272e+00,1.845831e-01
2.157634077523348e+06,4.636424979742932e+00,4.009656379850416e-01,-1.885429298103642e+00,0.000000e+00,2.571709e+00,6.862796e-01
2.173499033976790e+06,4.636784169344644e+00,4.011066733467173e-01,-1.387123981800231e+00,0.000000e+00,2.575100e+00,1.187976e+00
2.189363990430233e+06,4.636986427390038e+00,4.012120254181237e-01,-8.895918847229020e-01,0.000000e+00,2.579264e+00,1.689672e+00
2.205228946883676e+06,4.636480488835152e+00,4.011574762990850e-01,-3.912292377101290e-01,0.000000e+00,2.582598e+00,2.191369e+00
2.221093903337118e+06,4.636420236813711e+00,4.012031975438342e-01,1.072684584694334e-01,0.000000e+00,2.585797e+00,2.693065e+00
2.236958859790561e+06,4.636429499897511e+00,4.012643855205197e-01,6.058129986183236e-01,0.000000e+00,-3.694237e+00,-3.088424e+00
2.252823816244003e+06,4.636503982925433e+00,4.013401447814617e-01,1.104425404255217e+00,0.000000e+00,-3.691153e+00,-2.586727e+00
2.268688772697446e+06,4.637034839041079e+00,4.015185682938988e-01,1.603026986318812e+00,0.000000e+00,-3.688058e+00,-2.085031e+00
2.284553729150889e+06,4.636789638744599e+00,4.015219247471525e-01,2.100891967464879e+00,0.000000e+00,-3.684226e+00,-1.583334e+00
2.300418685604331e+06,4.636506953856697e+00,4.015166598971474e-01,2.599678777069050e+00,0.000000e+00,-3.681316e+00,-1.081637e+00
2.316283642057774e+06,4.636483775296682e+00,4.015696099568937e-01,3.098516488565894e+00,0.000000e+00,-3.678457e+00,-5.799409e-01
2.332148598511216e+06,4.636522206398123e+00,4.016362755861495e-01,-2.685775379902696e+00,0.000000e+00,2.607531e+00,-7.824442e-02
2.348013554964659e+06,4.636792490133636e+00,4.017550059296767e-01,-2.186811422778088e+00,0.000000e+00,2.610263e+00,4.234521e-01
2.363878511418101e+06,4.637080565731525e+00,4.018774730755693e-01,-1.688674142913684e+00,0.000000e+00,2.613823e+00,9.251485e-01
2.379743467871544e+06,4.636579921647550e+00,4.018222823398500e-01,-1.189659065777719e+00,0.000000e+00,2.616504e+00,1.426845e+00
2.395608424324987e+06,4.636542449190455e+00,4.018710509621797e-01,-6.905344911854407e-01,0.000000e+00,2.619076e+00,1.928541e+00
2.411473380778429e+06,4.636581364789722e+00,4.019368457232244e-01,-1.913576843888860e-01,0.000000e+00,2.621595e+00,2.430238e+00
2.427338337231872e+06,4.636920553160908e+00,4.020700540039255e-01,3.078812754897766e-01,0.000000e+00,2.624053e+00,2.931934e+00
2.443203293685314e+06,4.636954307419551e+00,4.021343587138088e-01,8.062590068529173e-01,0.000000e+00,-3.655814e+00,-2.849555e+00
2.459068250138757e+06,4.636615725462238e+00,4.021147945031402e-01,1.305606537776630e+00,0.000000e+00,-3.653465e+00,-2.347858e+00
2.474933206592199e+06,4.636601432305782e+00,4.021679025158820e-01,1.805006540812831e+00,0.000000e+00,-3.651168e+00,-1.846162e+00
2.490798163045642e+06,4.636684395644999e+00,4.022427783138725e-01,2.304469861801132e+00,0.000000e+00,-3.648935e+00,-1.344465e+00
2.506663119499085e+06,4.637532058711008e+00,4.024892391855384e-01,2.803649349365148e+00,0.000000e+00,-3.646418e+00,-8.427685e-01
2.522528075952527e+06,4.636736287005723e+00,4.023664585118960e-01,-2.980556415449163e+00,0.000000e+00,2.639484e+00,-3.410720e-01
2.538393032405970e+06,4.636649348602884e+00,4.024026142500325e-01,-2.480923523049281e+00,0.000000e+00,2.641548e+00,1.606245e-01
2.554257988859412e+06,4.636684391330867e+00,4.024660075312887e-01,-1.981247977131936e+00,0.000000e+00,2.643569e+00,6.623210e-01
2.570122945312855e+06,4.637136757304592e+00,4.026229812561711e-01,-1.481532198069961e+00,0.000000e+00,2.645550e+00,1.164017e+00
2.585987901766297e+06,4.636886854243883e+00,4.026221375072334e-01,-9.826495470503900e-01,0.000000e+00,2.648363e+00,1.665714e+00
2.601852858219740e+06,4.636701616068913e+00,4.026356032901189e-01,-4.827915332100042e-01,0.000000e+00,2.650202e+00,2.167410e+00
2.617717814673183e+06,4.636720780751965e+00,4.026947619397612e-01,1.710038927584945e-02,0.000000e+00,2.652006e+00,2.669107e+00
2.633582771126625e+06,4.637066948888529e+00,4.028272184648062e-01,5.170569911761813e-01,0.000000e+00,-3.629439e+00,-3.112382e+00
2.649447727580068e+06,4.636962767339128e+00,4.028585010679037e-01,1.016133791113732e+00,0.000000e+00,-3.626820e+00,-2.610686e+00
2.665312684033510e+06,4.636748101643297e+00,4.028648392177455e-01,1.516207604785683e+00,0.000000e+00,-3.625197e+00,-2.108989e+00
2.681177640486953e+06,4.636770970203079e+00,4.029242887685874e-01,2.016315306941807e+00,0.000000e+00,-3.623608e+00,-1.607293e+00
2.697042596940395e+06,4.637245677774708e+00,4.030849661408220e-01,2.516460315437998e+00,0.000000e+00,-3.622056e+00,-1.105596e+00
2.712907553393838e+06,4.636923499276366e+00,4.030669175506415e-01,3.015779960877451e+00,0.000000e+00,-3.619679e+00,-6.038995e-01
2.728772509847281e+06,4.636789149176106e+00,4.030907568306051e-01,-2.767119689940331e+00,0.000000e+00,2.664917e+00,-1.022030e-01
2.744637466300723e+06,4.636841885899423e+00,4.031564034861551e-01,-2.266794801934331e+00,0.000000e+00,2.666288e+00,3.994935e-01
2.760502422754166e+06,4.637738620297320e+00,4.034109164395438e-01,-1.766785687952808e+00,0.000000e+00,2.667976e+00,9.011899e-01
2.776367379207608e+06,4.636875714078508e+00,4.032713739224637e-01,-1.266896911482542e+00,0.000000e+00,2.669783e+00,1.402886e+00
2.792232335661051e+06,4.636835311091997e+00,4.033157267854751e-01,-7.664114788414299e-01,0.000000e+00,2.670994e+00,1.904583e+00
2.808097292114493e+06,4.637004705922537e+00,4.034070299845433e-01,-2.658605758305678e-01,0.000000e+00,2.672140e+00,2.406279e+00
2.823962248567936e+06,4.637199774421906e+00,4.035039510261391e-01,2.338016782258670e-01,0.000000e+00,2.674174e+00,2.907976e+00
2.839827205021379e+06,4.636876088234296e+00,4.034846596546496e-01,7.344516081804882e-01,0.000000e+00,-3.607965e+00,-2.873513e+00
2.855692161474821e+06,4.636911713508511e+00,4.035456494512876e-01,1.235143398549172e+00,0.000000e+00,-3.606960e+00,-2.371817e+00
2.871557117928264e+06,4.637809810221392e+00,4.037994538731881e-01,1.735556669967923e+00,0.000000e+00,-3.605677e+00,-1.870120e+00
2.887422074381706e+06,4.636947504769031e+00,4.036596042229287e-01,2.235780261795600e+00,0.000000e+00,-3.604204e+00,-1.368424e+00
2.903287030835149e+06,4.636920479566887e+00,4.037062995844821e-01,2.736630682769043e+00,0.000000e+00,-3.603358e+00,-8.667271e-01
2.919151987288591e+06,4.637258465414891e+00,4.038346189873452e-01,-3.045642086494952e+00,0.000000e+00,2.680612e+00,-3.650306e-01
2.935016943742034e+06,4.637066477734026e+00,4.038443872403492e-01,-2.545613077977686e+00,0.000000e+00,2.682279e+00,1.366659e-01
2.950881900195477e+06,4.636950706886554e+00,4.038710104399322e-01,-2.044594873467496e+00,0.000000e+00,2.682957e+00,6.383624e-01
2.966746856648919e+06,4.637098461759857e+00,4.039565118677464e-01,-1.543524098678253e+00,0.000000e+00,2.683583e+00,1.140059e+00
2.982611813102362e+06,4.637249616647345e+00,4.040426956965963e-01,-1.043345091279849e+00,0.000000e+00,2.685100e+00,1.641755e+00
2.998476769555804e+06,4.636987608196682e+00,4.040364642206132e-01,-5.421686428058093e-01,0.000000e+00,2.685620e+00,2.143452e+00
3.014341726009247e+06,4.637077524716521e+00,4.041087897337460e-01,-4.094976061380855e-02,0.000000e+00,2.686098e+00,2.645148e+00
3.030206682462689e+06,4.637443337352549e+00,4.042426762814453e-01,4.594115357828303e-01,0.000000e+00,-3.595752e+00,-3.136341e+00
3.046071638916132e+06,4.637025142463769e+00,4.042014789368832e-01,9.607214306736881e-01,0.000000e+00,-3.595366e+00,-2.634644e+00
3.061936595369575e+06,4.637097428519428e+00,4.042697098639570e-01,1.462092445365195e+00,0.000000e+00,-3.595040e+00,-2.132948e+00
3.077801551823017e+06,4.637528238381559e+00,4.044179326840135e-01,1.962622085115370e+00,0.000000e+00,-3.593873e+00,-1.631251e+00
3.093666508276460e+06,4.637060125102169e+00,4.043655548117742e-01,2.464074549328710e+00,0.000000e+00,-3.593629e+00,-1.129555e+00
3.109531464729902e+06,4.637140123319178e+00,4.044353997401490e-01,2.965600946985986e+00,0.000000e+00,-3.593459e+00,-6.278581e-01
3.125396421183345e+06,4.637462645432739e+00,4.045593320604172e-01,-2.816922978159129e+00,0.000000e+00,2.690761e+00,-1.261616e-01
3.141261377636787e+06,4.637092615387041e+00,4.045287575754598e-01,-2.315295175755657e+00,0.000000e+00,2.690830e+00,3.755349e-01
3.157126334090230e+06,4.637214285052721e+00,4.046077921707624e-01,-1.813609668935763e+00,0.000000e+00,2.690841e+00,8.772313e-01
